TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),SC(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Thickness
0.88,15.64,4.66,5.05,2.25,0.08,2.71,4.03,0.26,,108.0,39.0,13.0,17.0,17.0,93.0,104.0,540.0,,197.0,9.4,3.5,757.0,38.2,78.4,,35.2,6.42,1.36,,0.5,,,,,1.3,0.151,5.9,0.9,12.0,15.0,3.58,0
0.95,16.8,5.884530000000002,5.62,3.19,0.09,2.6,4.18,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1.41,15.0,10.172666,12.3,7.32,0.19,0.17,3.0,0.07,,260.0,320.0,36.0,56.0,77.0,81.0,2.2,160.0,31.0,98.0,,,35.0,3.5,11.0,,7.0,,,,,,,,,,,,,1.8,0.16,0.06,1
0.8,16.3,4.9489,4.9,2.3,0.1,2.4,4.1,0.3,9.0,98.0,,,,,,45.0,433.0,79.0,205.0,16.7,1.4,530.0,28.0,62.0,7.2,28.0,5.3,1.3,4.8,0.64,3.8,0.75,2.25,0.32,2.15,0.44,5.7,1.16,15.0,7.0,1.8,0
0.69,15.48,8.54,12.47,6.65,0.18,0.3,1.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.62,15.54,4.49,4.19,1.82,0.08,3.51,3.11,0.14,,,59.0,,27.0,,,163.0,313.0,22.0,144.0,13.0,,477.0,,,,,,,,,,,,,,,,,,20.0,,0
0.66,17.22,0.0,5.62,2.59,0.09,1.38,4.36,0.21,10.2,130.0,13.0,16.0,22.0,,,29.0,682.0,11.0,98.0,4.5,,620.0,14.3,30.0,,17.0,3.5,0.99,2.8,,2.1,,1.1,,1.0,,,,,3.1,,0
0.92,16.95,8.089202,8.29,3.77,0.16,0.61,3.02,0.12,28.0,224.0,23.0,24.0,,27.0,,10.0,254.0,61.0,109.0,,,,,,,,,,,,,,,,,,,,3.0,0.46,0.29,1
0.72,16.54,4.631364,4.76,2.35,0.06,3.19,3.8,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.8,17.67,8.449122000000001,9.07,4.48,0.18,0.95,2.8,0.15,,238.0,28.0,46.0,15.0,110.0,77.0,17.0,285.0,27.0,85.0,0.9,,273.0,,,,,,,,,,,,,,,,,,,,1
0.75,16.98,5.32395,4.99,2.97,0.13,2.68,2.96,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.98,17.0,4.849922,5.19,1.91,0.07,3.23,3.52,0.27,11.79,,,,7.84,,,107.0,597.0,21.8,230.0,18.1,2.96,873.0,43.9,86.9,10.15,37.1,6.34,1.54,5.7,0.67,4.16,0.72,2.02,0.26,1.53,0.22,6.24,1.03,17.4,9.8,2.3,0
0.13,12.73,0.8908020000000001,0.87,0.16,0.047,6.019,2.05,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.62,15.5,3.1,2.6,1.26,0.05,4.6,3.1,0.2,6.4,67.7,15.6,,0.7,16.9,63.9,254.9,289.5,18.1,191.7,18.5,22.8,515.2,49.5,99.2,11.5,41.2,7.8,1.3,5.7,0.77,4.0,0.69,1.7,0.24,1.5,0.21,5.7,2.0,23.4,30.6,10.5,0
0.94,17.23,7.702288,7.96,5.22,0.14,1.5,3.93,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.85,16.1,4.45401,4.9,3.0,0.08,3.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1.0024146,14.0681079,9.57528,12.3825735,8.441225099999999,0.16440929999999998,0.08515980000000001,1.7081955000000002,0.0773091,49.11083651,283.041,413.127,,133.84799999999998,109.593,69.993,1.682684137,114.7018842,19.3111547,54.45944889999999,5.02333074,0.12296466,33.25244169,4.835403047,11.41760825,1.648070828,7.758790675,2.346740462,0.853851583,3.041879205,0.563568113,3.629444069,0.7789151879999999,2.123747508,0.307602434,1.873604843,0.309823436,1.531846261,0.33894732200000005,0.643517706,0.627783137,0.151464499,0
0.76,19.27,5.866696,6.16,1.87,0.23,4.37,6.88,0.46,3.4,130.0,7.5,,6.5,,,105.0,2500.0,36.0,360.0,52.0,,2905.0,140.0,234.0,,93.0,14.5,3.8,10.1,,6.45,,3.4,,3.1,,,,,29.0,,0
0.76,17.0,5.704732,5.75,3.48,0.1,2.02,4.34,0.25,9.07,137.0,83.8,,39.3,,,21.6,498.0,12.0,150.0,6.41,,785.0,17.0,36.1,,18.3,3.76,1.05,3.17,,2.47,,1.31,,1.16,,,,11.5,5.25,1.98,0
0.705,17.23,5.72,5.88,3.07,0.096,1.68,4.33,0.205,,123.0,55.0,,18.0,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,0
0.6465,16.45,3.846645,4.16,1.93,0.058,2.78,4.495,0.217,2.3,,,0.8,1.6,3.3,35.0,197.0,86.0,13.0,96.0,17.0,7.5,500.0,29.0,54.0,5.9,19.0,3.5,0.6,2.8,0.42,2.4,0.47,1.4,0.22,1.5,0.24,,1.6,15.0,28.0,8.8,0
0.73,15.98,3.91413,3.76,1.57,0.05,3.3,4.35,0.27,5.52,90.52,11.75,10.03,9.79,,,102.35,798.88,7.88,134.31,8.26,,1320.77,37.32,69.97,,28.67,4.96,1.28,2.99,,1.65,,0.47,,0.5,,,,,8.03,,0
0.45,16.32,4.7149519999999985,4.97,2.29,0.08,2.01,3.8,0.15,9.5,122.0,43.0,15.0,23.0,,,48.5,510.0,8.5,72.0,3.5,,850.0,16.5,29.0,,14.0,2.7,0.75,2.4,,1.55,,0.8,,0.7,,,,,4.75,,0
0.52,15.6,7.216396,7.3,6.02,0.13,1.22,3.17,0.09,23.0,195.0,265.0,28.0,82.0,,,29.0,415.0,12.5,77.0,2.4,,565.0,9.8,18.0,,9.7,2.2,0.7,2.3,,2.1,,1.25,,1.23,,,,,2.8,,0
1.48,17.32,7.468339999999999,11.8,6.42,0.11,0.74,2.69,0.38,,250.0,296.0,,,,,9.17,386.0,25.4,120.0,20.9,0.19,181.0,21.5,44.9,5.26,21.5,4.66,1.68,4.26,0.73,4.28,0.85,2.5,0.5,2.18,0.35,2.73,1.11,1.45,1.89,0.28,1
0.73,18.6,6.658519999999998,8.8,4.4,0.15,1.24,3.0,0.29,,137.0,15.0,,12.0,,,28.0,518.0,22.0,62.0,2.0,,268.0,8.0,18.0,,10.0,,,,,,,,,,,,,4.0,0.45,0.24,1
0.93,15.69,4.7509440000000005,6.43,1.8,0.06,3.45,2.05,0.29,9.2,108.0,18.0,70.0,7.0,4.0,112.0,167.0,356.0,23.0,189.0,18.0,,653.0,38.0,79.0,,34.0,7.4,1.39,,0.6,3.0,,,,1.69,0.24,5.5,2.75,25.0,12.0,5.2,0
0.102,13.8,0.91,1.26,0.15,0.061,3.03,4.32,0.05,2.2,15.0,0.0,,4.0,,,74.2,229.0,8.48,84.0,7.3,,969.0,22.65,38.56,3.99,13.97,2.42,0.56,1.88,0.27,1.46,0.27,0.7,0.11,0.7,0.11,2.67,0.84,14.8,9.53,4.03,0
0.81,14.41,8.24,10.65,12.8,0.15,0.61,1.89,0.14,36.0,239.0,907.0,49.0,373.0,61.0,74.0,7.8,302.0,20.1,52.0,1.73,0.16,110.0,6.94,15.73,1.99,10.05,2.86,0.89,2.61,0.42,2.94,0.6,1.76,0.23,1.61,0.22,,,3.39,0.59,0.25,1
1.11,15.7,9.51,9.46,4.77,0.17,0.89,2.52,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.16,15.43,7.61,10.64,7.65,0.11,1.52,3.3,,20.9,,317.0,29.0,125.0,,,38.0,694.0,,,,1.0,412.0,29.2,60.2,,26.6,5.78,1.5,,0.71,,,,,1.72,0.233,3.9,0.7,,5.5,1.8,0
0.62,15.2,9.77,10.2,5.33,0.17,0.24,2.08,0.07,44.0,298.0,75.0,,37.0,,,4.0,126.0,17.0,39.0,0.0,,55.0,2.82,6.44,1.01,5.17,1.72,0.62,2.37,,3.1,,2.15,,2.07,,,,,,,1
0.87,16.33,6.721506,7.04,5.32,0.12,1.58,3.9,0.25,19.7,183.0,422.0,,873.0,,,42.3,665.0,15.4,128.0,5.4,,760.0,16.5,34.1,,18.3,3.89,1.15,3.45,,2.77,,1.5,,1.33,,,,11.1,4.87,1.5,0
0.96,16.24,5.875694,5.17,3.45,0.1,3.05,4.2,0.31,17.0,179.0,33.0,,19.0,55.0,51.0,111.0,866.9,20.7,166.4,16.4,2.4,557.1,34.9,73.6,8.1,29.5,5.5,1.2,4.1,0.7,3.2,0.6,1.8,0.2,1.7,0.2,4.4,1.0,3.9,17.1,5.3,0
0.5,17.35,4.94,6.15,3.6,0.08,1.8,4.27,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.36,16.34,8.71,11.73,7.64,0.17,0.08,3.07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.03,17.03,7.81,11.05,7.53,0.17,0.24,3.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.24,14.18,1.241724,1.15,0.39,0.07,4.24,4.53,0.04,2.0,7.0,6.0,2.0,4.831646012,6.188888424,45.0,429.0,16.0,14.0,84.0,37.0,37.09069008,86.0,26.30068537,52.7879115,5.568305876,18.23770522,4.225466011,,3.64590195,,2.65753708,0.5110424060000001,1.4698298580000002,,1.607275227,,4.6004136110000005,11.93473748,32.0,33.49719587,17.68801635,0
0.525,17.6,2.52,5.76,2.22,0.117,2.06,3.45,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.49,16.55,5.542768,5.53,2.9,0.1,1.77,3.83,0.15,12.5,138.0,56.0,22.0,30.0,,,44.0,483.0,11.0,69.0,3.3,,780.0,12.7,23.5,,12.5,2.8,0.77,2.6,,1.85,,1.05,,0.96,,,,,3.6,,0
0.58,15.1,2.8,2.6,1.12,0.05,4.5,3.4,0.2,6.1,61.4,15.3,,0.0,8.5,63.6,265.8,285.3,18.7,177.7,18.1,30.7,488.7,46.7,92.3,10.6,37.8,7.2,1.2,5.3,0.75,3.9,0.69,1.7,0.24,1.5,0.22,5.3,2.0,25.5,29.0,10.9,0
1.92,15.9,9.98,8.39,4.09,0.22,0.56,3.78,0.27,,287.0,,,86.0,,,8.0,203.0,35.0,123.0,4.0,,68.0,,,,,,,,,,,,,,,,,,,,1
0.72,15.81,3.86914,3.87,1.8,0.06,3.23,4.34,0.27,6.55,91.0,11.75,11.71,11.92,,,104.68,764.15,8.21,128.04,7.5,,1289.39,35.74,69.2,,27.8,4.73,1.09,3.16,,1.81,,0.65,,0.56,,,,,8.3,,0
1.332,16.883,6.2320148,6.535,3.359,0.08800000000000001,2.178,4.74,0.583,11.0,174.0,65.0,19.0,35.0,61.0,104.0,34.0,1244.0,13.0,183.0,8.0,,1276.0,41.0,84.0,,43.0,,,,,,,,,,,,,11.0,3.0,,0
1.07,21.38,7.546856,10.26,3.5,0.08,1.03,2.52,0.31,31.0,342.0,16.0,,7.0,79.0,89.0,9.0,449.0,24.0,40.0,0.0,,236.0,7.0,14.0,,,,,,,,,,,,,,,3.0,,,1
0.278,15.44,2.06,2.55,0.69,0.081,2.48,4.5,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.83,14.57,10.12275,9.59,4.35,0.17,0.69,2.29,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.7,15.52,3.4504019999999995,3.27,1.53,0.05,3.6,4.31,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.68,19.25,7.639302000000002,9.68,3.8,0.19,1.39,2.73,0.21,,259.0,9.0,,6.0,,,28.0,700.0,19.0,62.0,3.2,,777.0,,15.0,,9.0,,,,,,,,,,,,,,,,1
1.0,17.9,10.82906,10.6,4.8,0.026,0.7,2.7,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.59,15.56,4.660964,4.67,2.92,0.09,2.43,3.64,0.19,11.0,108.0,,,36.0,25.0,61.0,,436.0,17.0,,11.0,,430.0,,,,,,,,,,,,,,,,,,,,0
0.84,16.62,3.98,4.6,1.81,0.06,2.64,4.54,0.29,6.4,82.0,29.0,9.0,8.0,,,76.0,783.0,11.0,304.0,11.0,1.33,1070.0,44.2,87.9,10.2,38.3,6.3,1.69,3.7,0.5,2.3,0.4,0.92,0.135,0.79,0.109,6.8,0.65,12.1,7.3,1.48,0
0.62,15.74,11.814374,2.56,10.28,0.32,1.13,5.4,,,,,,,,489.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,1
0.87,16.72,6.8294820000000005,6.88,4.69,0.12,1.62,3.88,0.23,17.8,174.0,132.0,25.0,51.0,,,39.5,610.0,15.3,125.0,5.5,,755.0,16.7,34.0,,18.8,,1.13,,,2.8,,1.5,,1.38,,,,,4.5,,0
0.75,16.86,8.07,9.78,5.25,0.18,0.91,2.71,0.17,,,,,15.0,67.0,82.0,20.0,386.0,24.2,73.9,,,310.0,,,,,,,,,,,,,,,,,,,,1
0.893,15.72,8.557098,5.9,2.16,0.213,1.26,4.07,0.321,28.0,139.0,0.0,20.3,6.83,60.0,109.0,27.0,368.0,38.6,117.0,2.81,0.645,392.0,11.8,26.2,3.92,18.2,5.02,1.62,5.9,1.0,6.3,1.34,3.76,,3.77,0.586,3.14,0.2,4.9,1.79,0.6990000000000001,1
1.27,16.36,7.5,11.68,6.59,0.16,0.32,2.79,0.12,,,311.0,31.0,117.0,,,4.0,201.0,,100.0,,,33.0,5.37,,,10.33,3.12,,,,,,,,,,,0.23,,0.37,,1
1.0,18.65,9.393912,12.79,4.27,0.15,0.4,2.71,0.31,,304.0,282.0,,,,,4.77,315.0,24.3,79.1,2.14,0.11,57.2,6.33,14.0,2.11,10.4,2.88,1.1,3.22,0.55,3.5,0.77,2.28,0.32,2.11,0.3,1.86,0.14,0.96,0.36,0.34,1
0.77,16.2,4.6,4.4,2.1,0.06,3.2,4.4,0.25,7.1,,14.0,10.4,6.0,,,94.0,488.0,17.0,203.0,10.0,4.4,758.0,35.8,70.9,,34.7,6.47,1.35,,0.59,,,,,1.07,0.16,5.4,0.9,14.0,10.6,4.4,0
0.97,16.21,8.89,12.95,7.64,0.18,0.07,2.2,0.07,,,282.0,,152.4,,,4.09,115.5,20.5,47.3,0.6,,11.89,0.59,1.59,0.27,1.41,0.45,0.19,,0.12,0.97,0.23,0.7,,0.8,,,0.1,0.35,,,1
0.99,10.09,16.99,12.16,6.98,0.214,0.26,2.03,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.41,16.5,4.795934,4.9,2.52,0.08,1.71,4.08,0.14,10.8,120.0,53.0,14.0,27.0,,,42.5,512.0,8.2,54.0,3.0,,805.0,13.0,23.0,,11.0,2.2,0.65,2.1,,1.45,,0.8,,0.67,,,,,3.05,,0
0.6,14.83,10.599644,9.97,4.92,0.2,0.45,1.88,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.032,16.944000000000006,5.1459562000000005,4.982,2.45,0.078,2.95,4.67,0.47,11.0,125.0,25.0,12.0,17.0,62.0,100.0,68.0,895.0,12.8,273.0,11.6,,1365.0,46.0,94.0,,44.0,,,,,,,,,,,,,14.0,4.0,,0
0.7516,16.0585,8.60262788,10.6944,8.8385,0.1599,2.0594,2.0608,0.4229,,211.4049106,531.8549477,,143.8996546,,,53.42917212,851.0858252999999,32.17270376,144.7602126,5.664960886,0.4200972,495.161135,53.68655538,101.2235622,11.86619184,52.4946096,10.71273235,3.353195305,10.56195704,1.3071513890000002,6.532412354,1.126197459,2.826052194,0.391586193,2.262385619,0.34273331,3.047235081,0.278321197,7.456302514,6.669421432,1.937169935,1
0.53,15.76,9.915796,10.61,5.23,0.18,0.44,1.77,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.98,15.8,7.9857520000000015,6.93,6.93,0.13,2.39,3.51,0.47,,172.0,175.0,,114.0,,85.0,56.0,665.0,22.6,234.0,1.86,39.7,504.0,2.2,39.5,82.6,10.01,7.57,2.12,6.13,0.87,4.8,0.85,2.36,0.32,2.06,0.29,5.47,34.0,8.69,6.02,1.46,0
1.52,17.29,7.98,6.3,4.82,0.14,2.58,4.62,0.47,23.02,160.0,140.3,28.1,66.0,,,75.0,562.0,24.0,176.0,18.0,2.4,524.0,27.7,56.0,,29.0,6.36,2.06,,0.8,,,,,2.8,0.4,4.3,1.2,6.0,2.5,0.7,0
0.94,16.1,5.164852,5.07,2.85,0.079,2.62,3.98,0.295,9.5,,17.0,8.0,6.0,,,,266.0,,,,6.7,636.0,39.3,81.9,,36.4,7.18,1.38,,0.691,,,,,1.41,0.177,5.1,1.2,,12.7,4.4,0
0.612,15.7,4.3820260000000015,4.28,2.79,0.068,2.79,1.7,0.19,4.2,,,3.0,3.6,5.2,50.0,165.0,131.0,16.0,68.0,19.0,5.9,220.0,11.0,23.0,2.7,9.5,2.4,0.35,2.4,0.44,2.9,0.57,1.7,0.24,1.6,0.25,,1.5,18.0,8.0,4.7,0
0.79,16.56,5.5330879999999985,4.52,2.66,0.1,2.93,3.76,0.31,,,,,,,,,,,,,,,31.6,71.3,,,4.96,1.3,,0.541,,,,,1.8,0.285,,,,,,0
0.87,16.8,6.586536,6.88,4.33,0.11,1.69,3.95,0.25,17.3,181.0,112.0,24.0,51.0,,,42.0,584.0,17.0,145.0,6.1,,780.0,18.4,39.0,,20.4,4.05,1.13,3.9,,2.95,,1.55,,1.42,,,,,5.85,,0
0.54,15.96,9.906798,10.47,5.02,0.18,0.43,1.65,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.92,15.96,8.926016,13.7,8.52,0.2,0.26,2.13,0.07,42.5,249.6,397.2,,,,,,80.1,23.2,46.0,,,10.9,,,,,,,,,,,,,,,,,,,,1
1.1,14.9,10.94,8.77,4.1,0.24,0.49,2.3,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.78,16.65,8.23,10.8,8.16,0.16,0.72,2.2,0.16,35.0,243.0,262.0,36.0,107.0,66.0,73.0,11.4,406.0,18.7,45.0,1.41,0.42,169.0,6.92,14.98,1.98,9.18,2.52,0.89,3.06,0.52,3.0,0.68,1.91,0.28,1.83,0.3,,,2.95,0.74,0.29,1
1.581141825,17.747210100000004,3.995112,11.29217868,5.011122575,0.237713675,1.9526842,3.62375645,1.327895525,15.84715109,309.75925,23.32375,,19.55225,175.077,138.05675,163.4351853,2748.890935000001,38.39630352,250.0616303,33.24800711,2.195493352,1705.51777,94.43673082,192.7244239,22.88112685,89.95090340000002,16.84151381,4.807373118,12.43937655,1.618429452,8.188083434,1.473141234,3.4968741710000004,0.469602761,2.740680782,0.413453148,5.295242097,1.737448866,12.33388706,14.47228983,4.312719391,0
0.27,14.97,7.59,10.59,6.07,0.11,0.92,2.09,0.02,,,246.0,38.0,60.0,,,21.05,101.94,8.9,29.29,0.44,,30.05,,,,,,,,,,,,,,,,,,,,1
0.92,16.07,6.62,5.2,2.77,0.17,2.8,3.71,0.34,17.77,193.25,207.12,16.41,57.97,18.26,383.79,45.4,747.75,23.24,152.63,20.05,,842.32,30.53,58.01,,,,,,0.56,,0.79,,,,0.34,,1.29,25.48,7.94,2.06,0
1.23,16.42,5.362808,5.24,2.48,0.11,3.18,4.78,0.5,,86.0,22.0,19.0,5.0,4.0,154.0,154.0,513.0,20.0,273.0,27.0,,1367.0,,,,,,,,,,,,,,,,,,,,0
0.56,14.69,8.125194,8.77,6.54,0.14,0.77,2.56,0.09,30.6,239.9,256.1,29.2,93.2,98.9,65.0,13.7,134.0,16.7,52.7,2.95,0.43,80.0,4.32,9.7,1.2,5.49,1.67,0.56,2.22,0.4,2.66,0.59,1.74,,1.85,0.3,1.58,0.2,2.07,0.67,0.35,1
0.93,17.26,7.279382000000001,6.98,4.11,0.13,1.65,4.09,0.25,49.01,178.57,37.06,18.84,12.91,,,,589.05,16.94,150.55,,,661.34,,,,,,,,,,,,,,,,,,,,0
0.37,16.2,4.157076,4.56,2.0,0.08,1.79,4.02,0.14,8.9,102.0,36.0,13.0,21.0,,,46.0,515.0,7.9,72.0,3.0,,885.0,12.6,24.0,,11.0,2.15,0.62,2.1,,1.3,,0.8,,0.68,,,,,3.5,,0
0.96,16.28,8.359142,12.03,8.08,0.2,0.48,2.06,0.13,46.4,303.6,414.4,,,,,,80.9,25.7,47.2,,,14.9,,,,,,,,,,,,,,,,,,,,1
0.9,17.17,7.53,11.55,8.28,0.11,0.29,2.2,0.09,,135.0,331.0,34.0,140.0,43.0,,1.8,220.0,24.0,60.0,,,55.0,,,,,,,,,,,,,,,,,,,,1
0.97,17.23,5.605754,5.4,2.39,0.1,2.74,4.36,0.46,,112.0,5.0,31.0,5.0,21.0,85.0,65.0,1164.0,17.0,206.0,13.0,,1397.0,,,,,,,,,,,,,,,,,,,,0
0.85,16.0,8.288698,5.83,1.9,0.23,1.9,4.25,0.26,,96.0,2.0,,5.0,,,43.0,292.0,38.0,127.0,3.0,,352.0,15.7,30.2,,21.5,5.87,1.78,5.92,0.99,,,,0.57,3.94,0.63,3.23,0.15,,2.14,,1
0.59,15.4,5.7587199999999985,6.34,4.38,0.1,1.12,3.65,0.15,16.0,143.0,210.0,22.0,62.0,,,21.5,410.0,12.0,78.0,3.2,,495.0,10.0,21.0,,12.0,2.75,0.81,2.6,,2.1,,1.2,,1.06,,,,,2.1,,0
0.72,16.39,8.131764,13.43,9.38,0.13,0.01,2.19,0.13,,181.0,,,104.0,,,1.0,153.0,18.0,48.0,2.0,,25.0,,,,,,,,,,,,,,,,,,,,1
0.71,14.25,4.930904,4.68,0.86,0.05,2.57,2.42,0.33,10.0,82.0,18.0,13.0,0.0,0.0,51.0,69.0,421.0,27.0,170.0,27.0,,585.0,32.0,62.0,,28.0,,,,,,,,,,,,,7.0,0.0,0.0,0
0.48,14.48,8.26,8.72,6.42,0.12,0.36,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.8240000000000001,18.14,6.79,7.26,3.86,0.114,1.39,3.95,0.204,21.2,101.0,7.0,,2.0,,,32.4,639.0,15.47,134.0,4.77,,582.0,15.17,29.32,3.62,15.34,3.62,1.1,3.25,0.51,2.86,0.56,1.45,0.2,1.21,0.2,2.91,0.3,6.96,3.83,1.19,0
0.0,13.13,1.007776,0.56,0.05,0.11,4.39,3.59,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.44,14.2,3.122306,2.63,0.87,0.11,3.39,3.28,0.11,,,,,,,,128.0,181.0,15.0,209.0,27.0,,852.0,,,,,,,,,,,,,,,,,,,,0
0.93,14.27,10.7,7.98,3.59,,0.36,3.23,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,1
0.66,15.85,4.572606,4.7,2.54,0.09,2.49,3.72,0.18,,109.0,45.0,,25.0,,68.0,95.0,420.0,,,,,520.0,,,,,,,,,,,,,,,,,14.0,,,0
0.75,16.24,6.542466,7.17,4.78,0.13,1.63,3.46,0.19,21.0,159.0,90.0,,32.0,58.0,68.0,61.0,462.0,22.0,138.0,8.0,,382.0,19.0,42.0,,21.0,,,,,,,,,,,,,10.0,7.0,,0
0.81,17.59,6.8384800000000014,6.92,3.71,0.11,1.38,3.91,0.24,,,22.77,92.5,16.67,2236.0,108.2,30.27,630.0,12.1,121.0,4.69,1.13,647.0,16.16,35.28,4.26,17.79,3.74,1.16,3.53,0.5,2.68,0.55,1.45,0.22,1.26,0.19,3.12,0.28,6.1,3.34,1.22,0
0.2,13.49,2.501444,1.21,0.4,0.05,4.95,3.65,0.08,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,0
0.98,18.3,9.700322,11.71,6.33,0.18,0.57,2.36,0.19,34.0,315.0,90.0,,36.0,73.0,71.0,6.0,423.0,31.0,44.0,0.0,,93.0,7.0,15.0,,,,,,,,,,,,,,,0.0,,,1
0.76,17.8,5.8487,5.9,2.56,0.1,1.24,4.32,0.25,11.0,149.0,10.0,17.0,14.0,,,26.5,650.0,13.0,116.0,4.9,,610.0,14.1,31.0,,17.0,3.8,1.03,3.15,,2.25,,1.2,,1.11,,,,,2.95,,0
0.69,15.11,3.5785980000000004,3.19,1.33,0.06,4.39,4.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1.28,14.1,13.76694,1.02,14.24,0.39,0.05,3.0,0.2,,,40.0,,9.0,,127.0,0.0,222.0,32.0,77.0,0.0,,112.0,17.0,19.0,,14.0,,,,,,,,,,,,,6.0,0.0,,1
0.998,16.86,5.2332367999999985,4.963,2.394,0.077,2.945,4.74,0.464,9.0,125.0,21.0,12.0,18.0,61.0,102.0,69.0,904.0,12.4,278.0,12.1,,1371.0,46.0,95.0,,45.0,,,,,,,,,,,,,12.0,4.0,,0
1.06,16.27,7.692486,12.23,7.78,0.14,0.58,3.32,0.12,,244.0,337.0,,149.0,,,7.0,181.0,,91.0,,,38.31,,,,,,,,,,,,,,,,,,,,1
0.14,14.7,0.97,0.77,0.26,0.02,4.85,2.67,0.28,,,0.0,,,,64.0,479.0,0.0,,59.0,17.0,29.1,330.0,19.8,38.0,,17.3,4.09,0.46,0.0,0.52,,,,,0.8,0.11,2.22,4.24,,9.0,7.89,0
2.0,14.65,11.88,11.54,6.77,0.29,0.16,3.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.86,16.32,5.925472,5.51,2.82,0.11,2.45,3.22,0.19,15.1,147.0,,20.1,17.7,,,95.9,393.0,21.3,178.0,11.5,,508.0,32.1,58.5,7.72,30.8,5.47,1.24,4.77,0.76,4.12,0.79,2.31,0.35,2.32,0.37,4.96,0.92,11.0,10.9,2.22,0
0.75987785,19.12200125,7.126416000000001,6.1043117,1.816324625,0.224910425,4.05632765,6.2748629000000005,0.4513096,5.41854408,132.201,7.94,,10.322,87.43925,145.1035,105.8850356,2527.830759,35.64305274,367.4549444,52.61207193,2.803690908,2852.1390850000007,145.76824209999995,246.1510545,26.339444300000004,91.53080868,14.72265508,4.086929368,10.1944806,1.367535156,7.066908271,1.31091455,3.4132564710000004,0.482006052,3.051249369,0.482051765,6.85714497,2.800938555,29.617597,29.69123016,10.34875544,0
0.96,14.45,11.9,11.87,7.33,0.21,0.14,2.14,0.09,50.3,369.0,246.0,,83.0,161.0,,1.68,61.5,26.1,44.3,1.84,0.04,23.5,1.92,5.32,0.91,5.12,2.07,0.85,3.27,0.66,4.66,1.03,3.01,0.45,2.87,0.46,1.4,0.12,0.63,0.19,0.05,1
1.09,18.37,7.162408,8.12,3.1,0.13,1.55,3.22,0.28,23.0,224.0,21.0,25.2,3.0,14.0,95.0,48.95,498.0,31.9,134.0,8.07,,409.0,18.78,42.47,5.02,21.8,5.09,1.2,4.78,0.77,4.97,1.03,3.06,0.45,2.98,0.48,3.63,0.55,10.25,4.5,1.09,0
0.56,16.3,4.9489,5.1,2.54,0.08,1.37,4.2,0.15,11.4,120.0,59.0,15.0,20.0,,,26.5,435.0,10.5,96.0,3.8,,560.0,10.8,22.5,,12.5,2.6,0.77,2.45,,1.85,,0.95,,0.89,,,,,2.4,,0
